SR_NO,TEXT_REMARKS,ACTION_CATEGORY,HOLD_CANCEL_REASON,processed_text
12158,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
12159,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
12160,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12161,meter tested as per safety norms,,,meter test safety norm
12162,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12163,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12164,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12165,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12166,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12169,meter tested as per safety norms,,,meter test safety norm
12170,meter tested as per safety norma meter accuracy found within limit at the time of testing,,,meter test safety norma meter accuracy limit time test
12171,meter tested as per safety norms,,,meter test safety norm
12174,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12175,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12176,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12177,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12178,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12179,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12180,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12181,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12183,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12184,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12186,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12187,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12188,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12189,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12190,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12191,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12192,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12193,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12194,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12195,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12196,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12197,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12198,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12199,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12200,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12201,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12202,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12203,meter tested as per safety norms,,,meter test safety norm
12204,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12205,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12206,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12207,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12209,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
12210,meter tested as per all safety norms all display parameters found ok at the time of meter testing but meter not in use meter pasted on paper seal,,,meter test safety norm display parameter ok time meter test meter use meter past paper seal
12213,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12216,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12217,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12219,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12220,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12221,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12223,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12224,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12225,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12226,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12227,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12228,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
12229,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12230,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
12231,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12233,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12234,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12236,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12237,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12238,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12239,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12241,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12242,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12243,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12244,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12245,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12246,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12247,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12248,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12250,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12251,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12252,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12253,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
12254,meter tested as per safety norms,,,meter test safety norm
12255,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12256,meter tested as per safety norms,,,meter test safety norm
12257,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12258,meter tested as per safety norms,,,meter test safety norm
12259,meter tested as per safety norms,,,meter test safety norm
12260,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12261,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12262,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12263,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12264,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12265,meter tested as per safety norma meter accuracy found within limit at the time of testing,,,meter test safety norma meter accuracy limit time test
12266,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
12267,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12268,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
12269,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
12270,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
12272,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12273,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
12274,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12275,meter tested as per safety norms,,,meter test safety norm
12277,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12278,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12279,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12280,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12281,meter tested as per safety norms on external load discuss with consumer on phone no,,,meter test safety norm external load discus consumer phone
12282,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12283,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12285,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
12286,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12288,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
12289,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing composite meter testing,,,meter test safety norm tpddlaccuracy limit time test composite meter test
12290,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12291,meter tested as per safety normsmeter accuracy found within limit at the time of testing composite meter testing done,,,meter test safety normsmeter accuracy limit time test composite meter test
12292,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12293,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12294,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting composite meter testing,,,meter test safety norm oftpddlaccuracy limitatatime oftest composite meter test
12295,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12296,meter tested as per all safety norms all display parameters found ok at the time of meter testing all readings are of export side being a solar meter contacted person satish kumar,,,meter test safety norm display parameter ok time meter test reading export solar meter contact person satish kumar
12297,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
12299,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12300,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12301,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12302,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12303,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12304,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12305,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12306,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12307,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12308,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12311,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12312,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
12313,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12317,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12318,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12320,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12321,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12323,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12325,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
12326,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12327,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12328,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12330,meter tested as per safety norms,,,meter test safety norm
12331,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
12333,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12334,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12335,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12336,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12337,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12338,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
12339,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12341,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12343,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12344,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12345,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
12346,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12347,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12348,meter tested as per all safety norms all display parameters found ok at the time of meter testing meter testing witnessed by shri himalaya singh dmrc representative and shri vijay behl dtl representative and results found within permissible limits mtr seal removed dtldtl mtr seal installeddtldtl,,,meter test safety norm display parameter ok time meter test meter test witness shri himalaya singh dmrc representative shri vijay behl dtl representative result permissible limit mtr seal remov dtldtl mtr seal installeddtldtl
12349,meter tested as per safety norms,,,meter test safety norm
12351,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12353,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12354,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12355,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12357,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12358,meter tested as per safety norms,,,meter test safety norm
12359,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12361,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
12362,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
12363,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12364,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12365,meter tested as per all safety normsall display parameters found ok at the time of meter testing paper seal pested,,,meter test safety normsall display parameter ok time meter test paper seal pest
12366,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12367,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12368,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12370,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12371,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12372,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12374,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12375,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12376,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12377,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12378,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12379,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12380,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12381,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12382,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12388,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12389,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12390,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12391,meter tested as per safety norms,,,meter test safety norm
12392,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12393,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12394,meter tested as per all safety normsmeter accuracy found within limit at the time of testing paper seal pasted on meter box,,,meter test safety normsmeter accuracy limit time test paper seal past meter box
12395,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12397,meter tested as per safety norms,,,meter test safety norm
12399,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12400,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12401,meter tested as per safety norms,,,meter test safety norm
12404,meter tested as per safety norms,,,meter test safety norm
12405,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12406,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12407,meter tested as per safety norms,,,meter test safety norm
12409,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12410,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12411,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12412,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12413,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
12414,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12415,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12417,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12420,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12422,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12423,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12424,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12425,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12426,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12427,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12428,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12429,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12432,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12433,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
12435,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
12436,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12437,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12438,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12439,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12440,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12441,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12443,meter tested as per safety nirms,,,meter test safety nirm
12446,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12447,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
12448,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting composite meter testing,,,meter test safety norm oftpddlaccuracy limitatatime oftest composite meter test
12449,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12450,meter tested as per safety normsmeter accuracy found within limit at the time of testingcomposite meter testing done,,,meter test safety normsmeter accuracy limit time testingcomposite meter test
12452,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12453,meter tested as per safety noms meter tested an external load meter accuracy within limit at the time of testing meter not in use,,,meter test safety nom meter test external load meter accuracy limit time test meter use
12454,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12456,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12457,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12458,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12459,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12461,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12462,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12463,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12465,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12468,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12469,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12470,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12473,meter tested as per safety norms of tpddlaccuracy found within limit at a time of testing,,,meter test safety norm tpddlaccuracy limit time test
12475,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting composite meter testing,,,meter test safety norm oftpddlaccuracy limitatatime oftest composite meter test
12478,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12482,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12483,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
12484,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12486,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12487,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
12488,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12489,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12490,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12491,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12492,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12494,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
12495,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12496,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12497,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12498,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12499,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12500,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12501,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12503,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12505,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12506,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
12507,meter tested as per safety norms,,,meter test safety norm
12508,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
